Wall time,Step,Value
1562144316.0334334,471534,0.921875
1562144349.2870007,473774,0.921875
1562144416.6088746,478318,1.0
1562144580.3607774,482009,0.921875
1562144609.0650291,483929,0.96875
1562144626.1345057,485081,0.984375
1562144658.3446236,487257,0.96875
1562144681.2119853,488793,0.96875
1562144694.5557978,489689,0.890625
1562144745.9379423,493145,0.96875
1562144841.9880652,499609,0.96875
1562144862.9217145,501017,0.96875
1562144942.7722173,506393,0.9375
1562144949.4491544,506841,0.90625
1562144954.201421,507161,0.890625
1562145046.3503194,513369,0.921875
1562145171.8456116,521817,0.921875
1562145173.7463808,521945,0.9375
1562145176.5962133,522137,0.953125
1562145328.2957463,525017,0.96875
1562145386.2450776,528900,0.859375
1562145445.1565344,532868,0.90625
1562145454.6814892,533508,0.921875
1562145461.3461757,533956,0.953125
1562145467.0688443,534340,0.984375
1562145480.380816,535236,0.9375
1562145491.7669806,536004,0.953125
1562145498.4098213,536452,0.921875
1562145505.0366862,536900,1.0
1562145520.2236764,537924,0.953125
1562145555.3328998,540292,0.96875
1562145581.9264855,542084,0.984375
1562145634.2439685,545604,0.96875
1562145672.262839,548164,0.96875
1562145674.166629,548292,0.984375
1562145688.4182453,549252,1.0
1562145693.166881,549572,0.953125
1562145708.3703616,550596,0.96875
1562145716.9232864,551172,0.96875
1562145740.7035313,552772,0.984375
1562145830.1203623,558788,0.953125
1562145832.0264,558916,0.984375
1562145913.7969573,564420,0.953125
1562145935.6871493,565892,1.0
1562145939.48999,566148,0.921875
1562145949.9438884,566852,0.953125
1562145950.8906775,566916,0.984375
1562145956.6093154,567300,0.96875
1562146093.6782186,569199,0.96875
1562146122.3543403,571119,0.96875
1562146150.7741804,573039,0.953125
1562146165.9535456,574063,0.953125
1562146169.7481792,574319,0.984375
1562146300.1474786,583087,0.96875
1562146321.0596445,584495,0.90625
1562146336.2647147,585519,0.984375
1562146402.8000212,589999,0.96875
1562146425.5830169,591535,0.953125
1562146451.2314343,593263,0.9375
1562146544.3605874,599535,0.984375
1562146548.166914,599791,0.953125
1562146553.8640547,600175,0.953125
1562146595.6508203,602991,0.9375
1562146676.4384394,608431,0.953125
1562146678.3469343,608559,0.96875
1562146694.518321,609647,0.96875
1562146709.7170634,610671,0.953125
1562146722.0855937,611503,0.984375
1562146888.3696742,615386,0.984375
1562146901.6125202,616282,0.96875
1562146957.6336975,620058,0.90625
1562146983.3528588,621786,0.921875
1562146986.2111394,621978,0.921875
1562146989.0653398,622170,0.984375
1562147009.0526261,623514,0.984375
1562147032.7869787,625114,0.96875
1562147046.0609004,626010,0.890625
1562147074.5791335,627930,0.984375
1562147080.2773404,628314,0.921875
1562147083.1322746,628506,0.953125
1562147137.3330266,632154,1.0
1562147168.6885352,634266,0.96875
1562147177.2358873,634842,0.9375
1562147182.94636,635226,0.953125
1562147190.5570984,635738,0.953125
1562147238.9807913,639002,0.984375
1562147284.5812829,642074,1.0
1562147305.5274448,643482,0.96875
